Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,1n,C1710
"C10, C11",0805,2,0.1u,C1711
C12,0805,1,3.3n,C1738
"C13, C3, C6, C8",0805,4,1n,C1791
"C14, C15, C16, C17, C2, C9",0805,6,1u,C1712
C18,0805,1,22u,C5674
"C19, C20",0805,2,10p,C107107
"C21, C22, C23, C25, C28, C29, C30, C31, C32, C33, C34, C37, C4, C5, C7",0805,15,100n,C1711
"C24, C35",0805,2,10n,C1804
"C26, C27",0805,2,47pF,C14857
C36,CP_EIA-6032-28_Kemet-C,1,10uF,C7209
D1,D_SMF,1,SMF5V0A,C1972946
D2,0805,1,LED_PWR_R,C86865
D3,0805,1,LED_BUILTIN,C2904378
D4,D_SOD-123,1,1N4148W,C2099
D5,0805,1,TX_LED_Y,C2904378
D6,0805,1,RX_LED_Y,C2904378
D7,0805,1,SUS_LED_Y,C2904378
F1,0805,1,500mA,C20977
J1,PinHeader_1x06_P2.54mm_Vertical,1,Power,
J10,PinHeader_2x03_P2.54mm_Vertical,1,ICSP,
J2,PinHeader_1x08_P2.54mm_Vertical,1,~,
"J3, J5",PinHeader_1x08_P2.54mm_Vertical,2,Analog,
J4,PinHeader_1x08_P2.54mm_Vertical,1,PWM,
J6,PinHeader_1x08_P2.54mm_Vertical,1,COMUNICATION,
J7,PinHeader_2x18_P2.54mm_Vertical,1,Digital,
J8,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,1,Conn_Coaxial,C2837587
J9,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C393939
K3,Relay_DPDT_Omron_G6K-2F-Y,1,G6K-2,C2982926
Q2,SOT-23,1,SS8050,C2150
"R1, R3",0805,2,1.62M,C189667
"R10, R11",0805,2,5.1k,C702837
"R12, R13, R27",0805,3,27R,C17594
"R14, R16, R18, R19, R29, R8, R9",0805,7,1k,C702831
"R15, R20",0805,2,9k,C247026
"R17, R21",0805,2,0.1R,C125639
R2,0805,1,47k,C702826
"R22, R25, R28, R36, R37, R38, R39, R40, R41, R43, R5, RSNS1",0805,12,10k,C702829
"R23, R24",0805,2,49.9,C17720
R26,0805,1,1M,C17514
"R30, R31, R35, R42",0805,4,2.4k,C22370006
"R32, R33, R34",0805,3,300R,C22356757
R4,0805,1,1780,C17397
R6,0805,1,332k,C17631
R7,0805,1,118k,C17427
SW1,Switch_Tactile_SMD_6x6mm,1,Reset,C2845322
"SW2, SW3",RotaryEncoder_Alps_EC11E_Vertical_H20mm,2,RotaryEncoder,C370986
SW4,Switch_Tactile_SMD_6x6mm,1,AC/DC,C2845322
U1,SOIC-16W_7.5x10.3mm_P1.27mm,1,AMC3330,C5214212
U10,QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm,1,FT230XQ,C128629
"U11, U6, U9",SMD-4_4.4x3.85mm_P2.54mm,3,LTV-356T,C10804
U12,SOIC-16W_7.5x10.3mm_P1.27mm,1,ADuM1401xRW,C33273
U13,VSSOP-10_3x3mm_P0.5mm,1,TS5A23159DGS,C42751
U2,Converter_DCDC_TRACO_TEA1-xxxx_THT,1,TEA1-0505,C5291394
U3,DSG0008A,1,TPS259571DSGR,C471038
U4,RGE24_2P7X2P7_TEX,1,ADS8920BRGET,C1542899
U5,VSSOP-8_3x3mm_P0.65mm,1,THS4521IDGK,C170157
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,REF5045AD,C1575525
U8,TQFP-100_14x14mm,1,ATMEGA2560-16AU,C22460
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,16MHz,C242221
