Designator,Mid X,Mid Y,Rotation,Layer
C1,130.7,-77.1,0.0,top
C10,223.55,-97.4,0.0,top
C11,211.4,-95.0,180.0,top
C12,212.1,-103.3,270.0,top
C13,153.7,-78.5874,180.0,top
C14,159.0,-72.2374,90.0,top
C15,159.0,-76.0874,90.0,top
C16,141.6,-96.2,270.0,top
C17,154.1,-91.9,0.0,top
C18,148.0,-76.6874,0.0,top
C19,170.9,-80.9,0.0,top
C2,139.4,-77.1,180.0,top
C20,170.89,-89.8,180.0,top
C21,178.2125,-83.2,180.0,top
C22,175.0,-60.0,180.0,top
C23,178.1,-52.0,90.0,top
C24,225.1,-45.0,270.0,top
C25,124.5,-66.6,270.0,top
C26,223.5,-95.0,180.0,top
C27,216.2,-95.0,0.0,top
C28,213.4,-83.0,270.0,top
C29,157.3,-66.7,180.0,top
C3,123.4,-81.9,0.0,top
C30,164.7,-66.7,180.0,top
C31,205.6,-53.9,90.0,top
C32,205.6,-60.9,270.0,top
C33,205.6,-74.6,270.0,top
C34,205.6,-67.6,90.0,top
C35,217.2,-45.0,270.0,top
C36,145.9,-71.5,90.0,top
C37,194.1,-52.7,0.0,top
C4,123.4,-83.9,0.0,top
C5,139.4,-79.1,0.0,top
C6,139.4,-81.1,180.0,top
C7,131.4,-93.2,270.0,top
C8,129.4,-93.2,270.0,top
C9,133.4,-93.2,270.0,top
D1,224.2,-99.6,0.0,top
D2,211.4,-93.0,0.0,top
D3,172.0125,-70.075,0.0,top
D4,137.0,-71.2,90.0,top
D5,210.7,-87.1,270.0,top
D6,213.4,-87.1,90.0,top
D7,225.2,-87.1,270.0,top
F1,169.6,-97.2,270.0,top
J1,147.4,-107.5,90.0,top
J10,199.63,-62.66,0.0,top
J2,149.94,-32.5,270.0,top
J3,173.65,-107.5,90.0,top
J4,173.65,-32.5,270.0,top
J5,197.36,-107.5,90.0,top
J6,197.36,-32.5,90.0,top
J7,231.27,-68.73,0.0,top
J8,129.115,-53.48,90.0,top
J9,219.62,-106.325,0.0,top
K3,130.8,-70.1,0.0,top
Q2,140.9625,-69.45,0.0,top
R1,126.0125,-62.7,0.0,top
R10,228.1,-107.4,0.0,top
R11,228.1,-105.5,0.0,top
R12,220.8,-92.3,90.0,top
R13,218.9,-92.3,90.0,top
R14,144.5,-81.3,180.0,top
R15,147.9,-81.3,0.0,top
R16,211.4,-91.1,0.0,top
R17,152.5,-95.6,90.0,top
R18,148.8,-73.6,270.0,top
R19,144.4,-91.7,180.0,top
R2,135.4,-93.2,90.0,top
R20,147.8,-91.7,0.0,top
R21,148.0,-78.6874,0.0,top
R22,139.6,-96.1875,90.0,top
R23,154.1,-83.7,180.0,top
R24,154.1,-89.3,0.0,top
R25,137.7,-96.1875,90.0,top
R26,173.8,-83.9,270.0,top
R27,174.5,-87.5,0.0,top
R28,223.1,-45.0125,270.0,top
R29,172.0125,-72.075,0.0,top
R3,133.8125,-62.7,0.0,top
R30,166.2,-48.7,90.0,top
R31,140.7,-72.6,180.0,top
R32,208.0,-87.1,270.0,top
R33,215.3875,-91.1,0.0,top
R34,224.4875,-83.1,180.0,top
R35,166.2,-52.1,270.0,top
R36,207.6,-74.6,270.0,top
R37,149.5,-70.9,0.0,top
R38,207.6,-60.9,270.0,top
R39,207.6,-67.6125,90.0,top
R4,211.4,-99.9,0.0,top
R40,207.6,-53.9,90.0,top
R41,215.2,-45.0,270.0,top
R42,165.6,-88.4,90.0,top
R43,159.0,-88.4,90.0,top
R5,211.4,-98.0,0.0,top
R6,225.4,-91.3875,90.0,top
R7,223.5,-91.3875,90.0,top
R8,139.3125,-85.5,0.0,top
R9,139.3125,-87.4,0.0,top
RSNS1,129.9125,-62.7,0.0,top
SW1,220.8,-36.7,270.0,top
SW2,217.225,-71.1,0.0,top
SW3,217.225,-57.4,0.0,top
SW4,212.8,-36.7,270.0,top
U1,131.6,-84.4,180.0,top
U10,219.85,-87.125,90.0,top
U11,160.8,-51.4,180.0,top
U12,160.8,-60.2,90.0,top
U13,149.6,-86.5,180.0,top
U2,162.5,-96.6825,270.0,top
U3,219.4,-97.599999,180.0,top
U4,153.7,-74.3,0.0,top
U5,144.2,-86.5,270.0,top
U6,162.3,-84.2,180.0,top
U7,146.4,-95.9,270.0,top
U8,185.8,-62.4,270.0,top
U9,160.8,-46.5,180.0,top
Y1,170.5,-85.35,270.0,top
