Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1n","C_0805_2012Metric",130.700000,-77.100000,0.000000,top
"C2","1u","C_0805_2012Metric",139.400000,-77.100000,180.000000,top
"C3","1n","C_0805_2012Metric",123.400000,-81.900000,0.000000,top
"C4","100n","C_0805_2012Metric",123.400000,-83.900000,0.000000,top
"C5","100n","C_0805_2012Metric",139.400000,-79.100000,0.000000,top
"C6","1n","C_0805_2012Metric",139.400000,-81.100000,180.000000,top
"C7","100n","C_0805_2012Metric",131.400000,-93.200000,-90.000000,top
"C8","1n","C_0805_2012Metric",129.400000,-93.200000,-90.000000,top
"C9","1u","C_0805_2012Metric",133.400000,-93.200000,-90.000000,top
"C10","0.1u","C_0805_2012Metric",223.550000,-97.400000,0.000000,top
"C11","0.1u","C_0805_2012Metric",211.400000,-95.000000,180.000000,top
"C12","3.3n","C_0805_2012Metric",212.100000,-103.300000,-90.000000,top
"C13","1n","C_0805_2012Metric",153.700000,-78.587400,180.000000,top
"C14","1u","C_0805_2012Metric",159.000000,-72.237400,90.000000,top
"C15","1u","C_0805_2012Metric",159.000000,-76.087400,90.000000,top
"C16","1u","C_0805_2012Metric",141.600000,-96.200000,-90.000000,top
"C17","1u","C_0805_2012Metric",154.100000,-91.900000,0.000000,top
"C18","22u","C_0805_2012Metric",148.000000,-76.687400,0.000000,top
"C19","10p","C_0805_2012Metric",170.900000,-80.900000,0.000000,top
"C20","10p","C_0805_2012Metric",170.890000,-89.800000,180.000000,top
"C21","100n","C_0805_2012Metric",178.212500,-83.200000,180.000000,top
"C22","100n","C_0805_2012Metric",175.000000,-60.000000,180.000000,top
"C23","100n","C_0805_2012Metric",178.100000,-52.000000,90.000000,top
"C24","10n","C_0805_2012Metric",225.100000,-45.000000,-90.000000,top
"C25","100n","C_0805_2012Metric",124.500000,-66.600000,-90.000000,top
"C26","47pF","C_0805_2012Metric",223.500000,-95.000000,180.000000,top
"C27","47pF","C_0805_2012Metric",216.200000,-95.000000,0.000000,top
"C28","100n","C_0805_2012Metric",213.400000,-83.000000,-90.000000,top
"C29","100n","C_0805_2012Metric",157.300000,-66.700000,180.000000,top
"C30","100n","C_0805_2012Metric",164.700000,-66.700000,180.000000,top
"C31","100n","C_0805_2012Metric",205.600000,-53.900000,90.000000,top
"C32","100n","C_0805_2012Metric",205.600000,-60.900000,-90.000000,top
"C33","100n","C_0805_2012Metric",205.600000,-74.600000,-90.000000,top
"C34","100n","C_0805_2012Metric",205.600000,-67.600000,90.000000,top
"C35","10n","C_0805_2012Metric",217.200000,-45.000000,-90.000000,top
"C36","10uF","CP_EIA-6032-28_Kemet-C",145.900000,-71.500000,-90.000000,top
"C37","100n","C_0805_2012Metric",194.100000,-52.700000,0.000000,top
"D1","SMF5V0A","D_SMF",224.200000,-99.600000,0.000000,top
"D2","LED_PWR_R","LED_0805_2012Metric",211.400000,-93.000000,0.000000,top
"D3","LED_BUILTIN","LED_0805_2012Metric",172.012500,-70.075000,0.000000,top
"D4","1N4148W","D_SOD-123",137.000000,-71.200000,90.000000,top
"D5","TX_LED_Y","LED_0805_2012Metric",210.700000,-87.100000,-90.000000,top
"D6","RX_LED_Y","LED_0805_2012Metric",213.400000,-87.100000,90.000000,top
"D7","SUS_LED_Y","LED_0805_2012Metric",225.200000,-87.100000,-90.000000,top
"F1","500mA","Fuse_0805_2012Metric",169.600000,-97.200000,-90.000000,top
"J1","Power","PinHeader_1x06_P2.54mm_Vertical",141.050000,-107.500000,90.000000,top
"J2","~","PinHeader_1x08_P2.54mm_Vertical",158.830000,-32.500000,-90.000000,top
"J3","Analog","PinHeader_1x08_P2.54mm_Vertical",164.760000,-107.500000,90.000000,top
"J4","PWM","PinHeader_1x08_P2.54mm_Vertical",182.540000,-32.500000,-90.000000,top
"J5","Analog","PinHeader_1x08_P2.54mm_Vertical",188.470000,-107.500000,90.000000,top
"J6","COMUNICATION","PinHeader_1x08_P2.54mm_Vertical",188.470000,-32.500000,90.000000,top
"J7","Digital","PinHeader_2x18_P2.54mm_Vertical",230.000000,-47.140000,0.000000,top
"J8","Conn_Coaxial","BNC_Amphenol_B6252HB-NPP3G-50_Horizontal",132.780000,-53.480000,90.000000,top
"J9","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",219.620000,-106.325000,0.000000,top
"J10","ICSP","PinHeader_2x03_P2.54mm_Vertical",198.360000,-60.120000,0.000000,top
"K3","G6K-2","Relay_DPDT_Omron_G6K-2F-Y",130.800000,-70.100000,0.000000,top
"Q2","SS8050","SOT-23",140.962500,-69.450000,180.000000,top
"R1","1.62M","R_0805_2012Metric",126.012500,-62.700000,0.000000,top
"R2","47k","R_0805_2012Metric",135.400000,-93.200000,90.000000,top
"R3","1.62M","R_0805_2012Metric",133.812500,-62.700000,0.000000,top
"R4","1780","R_0805_2012Metric",211.400000,-99.900000,0.000000,top
"R5","10k","R_0805_2012Metric",211.400000,-98.000000,0.000000,top
"R6","332k","R_0805_2012Metric",225.400000,-91.387500,90.000000,top
