"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","JLCPCB Part #","Datasheet"
"R30,R31,R35,R42","4","2.4k","","","","Resistor_SMD:R_0805_2012Metric","C22370006","~"
"R32,R33,R34","3","300R","","","","Resistor_SMD:R_0805_2012Metric","C22356757","~"
"U2","1","TEA1-0505","","","","Converter_DCDC:Converter_DCDC_TRACO_TEA1-xxxx_THT","C5291394","https://www.tracopower.com/products/tea1.pdf"
"U1","1","AMC3330","","","","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","C5214212","https://www.ti.com/lit/ds/symlink/amc3330.pdf"
"K3","1","G6K-2","","","","Relay_SMD:Relay_DPDT_Omron_G6K-2F-Y","C2982926","http://omronfs.omron.com/en_US/ecb/products/pdf/en-g6k.pdf"
"D7","1","SUS_LED_Y","","","","LED_SMD:LED_0805_2012Metric","C2904378","~"
"D6","1","RX_LED_Y","","","","LED_SMD:LED_0805_2012Metric","C2904378","~"
"D5","1","TX_LED_Y","","","","LED_SMD:LED_0805_2012Metric","C2904378","~"
"D3","1","LED_BUILTIN","","","","LED_SMD:LED_0805_2012Metric","C2904378","~"
"SW4","1","AC/DC","","","","digikey-footprints:Switch_Tactile_SMD_6x6mm","C2845322","~"
"SW1","1","Reset","","","","digikey-footprints:Switch_Tactile_SMD_6x6mm","C2845322","~"
"J8","1","Conn_Coaxial","","","","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal","C2837587","~"
"D1","1","SMF5V0A","","","","Diode_SMD:D_SMF","C1972946","https://www.vishay.com/doc?85881"
"U7","1","REF5045AD","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C1575525","https://www.ti.com/lit/ds/symlink/ref5030a-q1.pdf"
"U4","1","ADS8920BRGET","","","","RGE24_2P7X2P7_TEX","C1542899","https://www.ti.com/lit/gpn/ads8920b"
"R10,R11","2","5.1k","","","","Resistor_SMD:R_0805_2012Metric","C702837","~"
"R8,R9,R14,R16,R18,R19,R29","7","1k","","","","Resistor_SMD:R_0805_2012Metric","C702831","~"
"R5,R22,R25,R28,R36,R37,R38,R39,R40,R41,R43,Rsns1","12","10k","","","","Resistor_SMD:R_0805_2012Metric","C702829","~"
